Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.3655","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.0822","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.4477","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","118.645","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","118.645","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.4166","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.0937","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.5103","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","135.2236","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","135.2236","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.3826","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.0861","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.4687","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","124.2154","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","124.2154","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.446","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.1003","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.5463","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","144.782","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","144.782","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.4718","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.1062","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.578","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","153.1614","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","153.1614","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.4666","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.105","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.5716","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","151.4782","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","151.4782","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.4463","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.1004","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.5467","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","144.8656","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","144.8656","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.4717","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.1061","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.5779","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","153.1307","E","Estimated value",""
