Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","6026","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","855","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","45","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","3","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2911","Pulses","2020","2020","1000 t","44","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2912","Treenuts","2020","2020","1000 t","61","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2913","Oilcrops","2020","2020","1000 t","133","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","30","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2918","Vegetables","2020","2020","1000 t","3606","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","1675","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2923","Spices","2020","2020","1000 t","18","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2943","Meat","2020","2020","1000 t","313","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2945","Offals","2020","2020","1000 t","53","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2946","Animal fats","2020","2020","1000 t","48","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2949","Eggs","2020","2020","1000 t","20","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","2137","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","10.1","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","F2961","Aquatic Products, Other","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","684","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","255","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","27","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","8","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2911","Pulses","2020","2020","1000 t","26","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2912","Treenuts","2020","2020","1000 t","15","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2913","Oilcrops","2020","2020","1000 t","134","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","15","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2918","Vegetables","2020","2020","1000 t","1287","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","521","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2922","Stimulants","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2923","Spices","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2924","Alcoholic Beverages","2020","2020","1000 t","62","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2943","Meat","2020","2020","1000 t","79","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2945","Offals","2020","2020","1000 t","12","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2946","Animal fats","2020","2020","1000 t","7","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2949","Eggs","2020","2020","1000 t","54","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","1052","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","12.69","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","F2961","Aquatic Products, Other","2020","2020","1000 t","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","4393","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","4659","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","146","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2911","Pulses","2020","2020","1000 t","115","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2912","Treenuts","2020","2020","1000 t","61","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2913","Oilcrops","2020","2020","1000 t","1115","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2914","Vegetable Oils","2020","2020","1000 t","292","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2918","Vegetables","2020","2020","1000 t","10277","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","4765","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2922","Stimulants","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2923","Spices","2020","2020","1000 t","15","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2924","Alcoholic Beverages","2020","2020","1000 t","135","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2943","Meat","2020","2020","1000 t","799","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2945","Offals","2020","2020","1000 t","69","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2946","Animal fats","2020","2020","1000 t","16","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2949","Eggs","2020","2020","1000 t","308","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","3355","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","104.88","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5511","Production","F2961","Aquatic Products, Other","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","2428","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","10956","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5511","Production","F2908","Sugar Crops","2020","2020","1000 t","865","E","Estimated value"
