MonthlyIncome,ActiveSinceDays,Age,Graduate,Married,Single,NoOfChildren,NoOfTeenager,NoOfDaysSinceLastPurchase,AmountSpendOnWines,AmountSpentOnFruits,AmountSpentOnMeat,AmountSpentOnFish,AmountSpentOnSweet,AmountSpentOnGold,NoOfDealsWithDiscount,NoOfWebPurchase,NoOfCatalogPurchase,NoOfStorePurchase,NoOfWebVisitsMonth,PurchasedIn1stCampaign,PurchasedIn2ndCampaign,PurchasedIn3rdCampaign,PurchasedIn4thCampaign,PurchasedIn5thCampaign,TotalNoOfCampaignAccepted,CustomerComplain
58138,2822,63,1,0,1,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,0
46344,2272,66,1,0,1,0,0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
71613,2471,55,1,1,0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
26646,2298,36,1,1,0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
58293,2320,39,1,1,0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
62513,2452,53,1,1,0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
55635,2752,49,1,0,1,0,0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
33454,2576,35,1,1,0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0
30351,2547,46,1,1,0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0
5648,2267,70,1,1,0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,1,0
7500,2752,44,0,1,0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
63033,2385,61,1,0,1,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
59354,2385,68,1,0,1,0,0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
17323,2786,33,1,1,0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
82800,2741,74,1,0,1,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,2,0
41850,2711,40,1,1,0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0
37760,2826,74,1,1,0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
